player_name,opponent,home,minutes,avg_points_last5,avg_rebounds_last5,avg_assists_last5,points,rebounds,assists,opp_avg_points_allowed,opp_avg_rebounds_allowed,opp_avg_assists_allowed
Precious Achiuwa,PHI,1,27.0,11.0,6.8,1.2,2.0,9.0,1.0,13.16304347826087,4.967391304347826,2.902173913043478
Precious Achiuwa,POR,1,11.0,7.8,6.8,1.0,10.0,2.0,0.0,12.975903614457831,4.795180722891566,2.7349397590361444
Precious Achiuwa,MIL,0,6.0,9.8,6.0,1.0,0.0,2.0,0.0,13.353535353535353,4.848484848484849,2.808080808080808
Precious Achiuwa,LAC,1,8.0,6.2,4.4,0.4,6.0,3.0,0.0,11.64367816091954,4.425287356321839,2.7126436781609193
Precious Achiuwa,DAL,1,20.0,6.2,4.4,0.4,11.0,2.0,2.0,13.263736263736265,5.0,2.769230769230769
Precious Achiuwa,WAS,1,12.0,5.8,3.6,0.6,4.0,5.0,2.0,14.329896907216495,5.402061855670103,3.2061855670103094
Precious Achiuwa,CHA,0,17.0,6.2,2.8,0.8,2.0,6.0,0.0,12.072289156626505,4.819277108433735,3.0843373493975905
Precious Achiuwa,SAS,0,7.0,4.6,3.6,0.8,4.0,2.0,0.0,12.597402597402597,5.142857142857143,3.4025974025974026
Precious Achiuwa,MIA,1,10.0,5.4,3.6,0.8,4.0,3.0,0.0,13.307692307692308,5.461538461538462,3.0549450549450547
Precious Achiuwa,GSW,0,10.0,5.0,3.6,0.8,0.0,1.0,0.0,13.617283950617283,5.098765432098766,2.7777777777777777
Precious Achiuwa,POR,0,9.0,2.8,3.4,0.4,0.0,2.0,0.0,12.975903614457831,4.795180722891566,2.7349397590361444
Precious Achiuwa,SAC,0,5.0,2.0,2.8,0.0,2.0,0.0,0.0,13.395604395604396,4.142857142857143,3.197802197802198
Precious Achiuwa,LAC,0,16.0,2.0,1.6,0.0,9.0,5.0,2.0,11.64367816091954,4.425287356321839,2.7126436781609193
Precious Achiuwa,GSW,1,30.0,3.0,2.2,0.4,8.0,15.0,0.0,13.617283950617283,5.098765432098766,2.7777777777777777
Precious Achiuwa,MEM,0,4.0,3.8,4.6,0.4,3.0,1.0,0.0,11.378947368421052,3.873684210526316,3.0842105263157893
Precious Achiuwa,PHI,1,31.0,4.4,4.6,0.4,7.0,6.0,2.0,13.16304347826087,4.967391304347826,2.902173913043478
Precious Achiuwa,BOS,0,15.0,5.8,5.4,0.8,0.0,1.0,3.0,11.329896907216495,4.494845360824742,2.3195876288659796
Precious Achiuwa,CLE,0,28.0,5.4,5.6,1.4,7.0,10.0,1.0,13.145833333333334,4.78125,2.96875
Precious Achiuwa,CHI,1,46.0,5.0,6.6,1.2,11.0,9.0,0.0,14.773809523809524,5.166666666666667,3.3333333333333335
Precious Achiuwa,ATL,1,42.0,5.6,5.4,1.2,26.0,8.0,1.0,15.041666666666666,5.052083333333333,3.0520833333333335
Precious Achiuwa,IND,0,33.0,10.2,6.8,1.4,9.0,12.0,2.0,14.05813953488372,5.186046511627907,3.2906976744186047
Precious Achiuwa,BOS,1,33.0,10.6,8.0,1.4,3.0,4.0,2.0,11.329896907216495,4.494845360824742,2.3195876288659796
Precious Achiuwa,TOR,0,36.0,11.2,8.6,1.2,17.0,8.0,2.0,13.86046511627907,5.313953488372093,3.2906976744186047
Precious Achiuwa,HOU,1,34.0,13.2,8.2,1.4,7.0,9.0,0.0,12.158536585365853,4.414634146341464,2.475609756097561
Precious Achiuwa,LAL,1,29.0,12.4,8.2,1.4,15.0,15.0,3.0,12.316326530612244,4.520408163265306,2.5510204081632653
Precious Achiuwa,DEN,1,26.0,10.2,9.6,1.8,8.0,3.0,0.0,13.158536585365853,4.841463414634147,3.475609756097561
Precious Achiuwa,MEM,1,20.0,10.0,7.8,1.4,14.0,3.0,1.0,11.378947368421052,3.873684210526316,3.0842105263157893
Precious Achiuwa,SAC,1,18.0,12.2,7.6,1.2,4.0,5.0,0.0,13.395604395604396,4.142857142857143,3.197802197802198
Precious Achiuwa,BKN,0,18.0,9.6,7.0,0.8,11.0,4.0,1.0,12.61111111111111,5.144444444444445,2.511111111111111
Precious Achiuwa,ATL,1,17.0,10.4,6.0,1.0,2.0,5.0,2.0,15.041666666666666,5.052083333333333,3.0520833333333335
Precious Achiuwa,MIN,1,36.0,7.8,4.0,0.8,6.0,9.0,3.0,12.438202247191011,4.191011235955056,2.4157303370786516
Precious Achiuwa,PHI,0,30.0,7.4,5.2,1.4,10.0,6.0,1.0,13.16304347826087,4.967391304347826,2.902173913043478
Precious Achiuwa,DET,1,10.0,6.6,5.8,1.4,0.0,4.0,1.0,13.333333333333334,4.777777777777778,3.0303030303030303
Precious Achiuwa,MIL,1,15.0,5.8,5.6,1.6,4.0,3.0,1.0,13.353535353535353,4.848484848484849,2.808080808080808
Precious Achiuwa,OKC,1,6.0,4.4,5.4,1.6,2.0,1.0,0.0,10.840425531914894,4.202127659574468,2.223404255319149
Precious Achiuwa,TOR,1,15.0,4.4,4.6,1.2,6.0,4.0,1.0,13.86046511627907,5.313953488372093,3.2906976744186047
Precious Achiuwa,ORL,1,22.0,4.4,3.6,0.8,10.0,2.0,0.0,13.755555555555556,5.0,2.688888888888889
